,Comp,Date,Close,month_ROR,qtr_ROR,year_ROR,Score,Oil,EUR,JPY
31,ANDV,2015-11-18,106.1041488647461,0.0873786064513103,0.0640211825776944,0.4646519291713142,0.8372323065820495,44.14,0.94,123.64
32,ANDV,2015-12-02,105.61799621582033,0.071467885596766,0.2517976192993251,0.4300057330562308,0.8416948291864751,42.49,0.94,123.25
33,ANDV,2015-12-16,98.16151428222656,-0.0773639139382864,0.0965761757064458,0.3495935519199486,0.8470323191751483,37.19,0.92,122.22
34,ANDV,2015-12-30,97.68376922607422,-0.1091778024482692,0.0551451260395978,0.3508940795088803,0.8496651755313733,36.46,0.91,120.52
35,ANDV,2017-10-18,102.27254486083984,0.0236147186793912,0.0900880855608108,0.2855152804773606,0.5807160792856463,58.15,0.85,112.94
36,ANDV,2017-11-01,107.06656646728516,0.01252863501154,0.0775360192276064,0.2630980451490657,0.5894045915495664,60.49,0.86,114.17
37,AVY,2015-08-12,56.02568054199219,0.0234888257395767,0.0901308446842151,0.3076785259021568,0.7245265535719186,49.66,0.9,124.21
38,AVY,2015-08-26,51.04600524902344,-0.0236972853759119,-0.0038094991790009,0.2372996967331955,0.7274266707973471,43.14,0.88,119.92
39,AVY,2015-09-09,51.8165397644043,-0.0395786381177141,-0.0403201363025471,0.2065932204347617,0.7300256343399472,47.58,0.89,120.51
40,AVY,2015-09-23,50.69221115112305,-0.0497993296756451,-0.0507395237170385,0.2363454308969944,0.7085048105620471,47.75,0.89,120.3
41,AVY,2015-10-07,52.04673004150391,0.0133972965645781,-0.0513535365651639,0.3103469440788854,0.6497596456525221,51.33,0.89,120.02
42,AVY,2015-10-21,53.48090362548828,0.0058860363650962,-0.0399241378293626,0.3594301128885163,0.6529263290601879,47.85,0.88,119.95
43,AVY,2016-04-06,65.37203216552734,0.0787651375131802,0.1624602930554357,0.3335877597432723,0.7559989516628672,39.84,0.88,109.8
44,AVY,2016-04-20,65.37203216552734,0.0435629613473362,0.2121006646745364,0.3417597362267429,0.7593173623005502,45.8,0.89,109.84
45,AVY,2016-05-04,66.23148345947266,0.0160931934068076,0.1940797256676455,0.3384643601706976,0.5678831417309402,44.62,0.87,107.02
46,AVY,2016-05-18,66.64329528808594,0.0457877087597699,0.1756189054429973,0.2681254090738597,0.5926154621314049,48.93,0.89,110.19
47,AVY,2016-06-01,66.76066589355469,0.0196936323513592,0.1189909915417436,0.2013521975285225,0.5809008281707706,49.72,0.89,109.53
48,AVY,2016-06-15,68.11101531982422,0.0150287598762398,0.1061324368359793,0.2444692183635639,0.5813089648480765,48.97,0.89,106.02
49,AVY,2016-06-29,65.55435943603516,-0.0003061252353548,0.044789196758951,0.2160945353024438,0.588493190321017,50.61,0.9,102.83
50,AVY,2016-08-10,70.83869171142578,0.0847083261406245,0.0464935016250949,0.2567419371624412,0.821603651112413,44.05,0.89,101.28
